"Mã hợp đồng","Tên hợp đồng","Mã hàng hoá","KL chào mua","Giá chào mua","KL đang chờ khớp mua","Giá chào bán","KL chào bán","KL chờ khớp bán","Giá khớp","KL khớp","Thay đổi","Thay đổi (%)","Giá mở cửa","Giá cao nhất","Giá thấp nhất","Giá đóng cửa","Giá đóng cửa phiên trước","Giá thanh toán","Bước giá tối thiểu","Giá hợp đồng","KL giao dịch","Ngày giờ cập nhật gần nhất"
"AHDD01G23","Nhôm LME 01/02/23","LALZ","","","","","","","2529.65","","","","","","","","","2553.0","","","",""
"AHDD01G24","Nhôm LME 01/02/24","LALZ","","","","","","","2237.5","","","","","","","","","2235.5","","","",""
"AHDD01H23","Nhôm LME 01/03/23","LALZ","","","","","","","2328.5","","","","","","","","","2316.0","","","",""
"AHDD01H24","Nhôm LME 01/03/24","LALZ","","","","","","","2136.5","","","","","","","","","2145.5","","","",""
"AHDD01J25","Nhôm LME 01/04/25","LALZ","","","","","","","2628","","","","","","","","","2629.0","","","",""
"AHDD01J26","Nhôm LME 01/04/26","LALZ","","","","","","","3417","","","","","","","","","3448.0","","","",""
"AHDD01K24","Nhôm LME 01/05/24","LALZ","","","","","","","2566.5","","","","","","","","","2557.0","","","",""
"AHDD01K25","Nhôm LME 01/05/25","LALZ","","","","","","","2427.5","","","","","","","","","2435.5","","","",""
"AHDD01K26","Nhôm LME 01/05/26","LALZ","","","","","","","3553.5","","","","","","","","","3547.0","","","",""
"AHDD01M23","Nhôm LME 01/06/23","LALZ","","","","","","","2239","","","","","","","","","2251.5","","","",""
"AHDD01M26","Nhôm LME 01/06/26","LALZ","","","","","","","3759.5","","","","","","","","","3752.0","","","",""
"AHDD01N24","Nhôm LME 01/07/24","LALZ","","","","","","","2450","","","","","","","","","2448.0","","","",""
"AHDD01N25","Nhôm LME 01/07/25","LALZ","","","","","","","2595","","","","","","","","","2595.0","","","",""
"AHDD01N26","Nhôm LME 01/07/26","LALZ","","","","","","","3103.5","","","","","","","","","3084.0","","","",""
"AHDD01Q23","Nhôm LME 01/08/23","LALZ","","","","","","","2182.5","","","","","","","","","2185.0","","","",""
"AHDD01Q24","Nhôm LME 01/08/24","LALZ","","","","","","","2235","","","","","","","","","2235.0","","","",""
"AHDD01Q25","Nhôm LME 01/08/25","LALZ","","","","","","","2594.5","","","","","","","","","2597.0","","","",""
"AHDD01U23","Nhôm LME 01/09/23","LALZ","","","","","","","2163","","","","","","","","","2163.0","","","",""
"AHDD01U26","Nhôm LME 01/09/26","LALZ","","","","","","","3118","","","","","","","","","3111.0","","","",""
"AHDD01V24","Nhôm LME 01/10/24","LALZ","","","","","","","2614","","","","","","","","","2630.0","","","",""
"AHDD01V25","Nhôm LME 01/10/25","LALZ","","","","","","","2674","","","","","","","","","2674.0","","","",""
"AHDD01V26","Nhôm LME 01/10/26","LALZ","","","","","","","3121","","","","","","","","","3114.0","","","",""
"AHDD01X23","Nhôm LME 01/11/23","LALZ","","","","","","","2260","","","","","","","","","2258.5","","","",""
"AHDD01X24","Nhôm LME 01/11/24","LALZ","","","","","","","2593","","","","","","","","","2584.5","","","",""
"AHDD01Z22","Nhôm LME 01/12/22","LALZ","","","","","","","2335","","","","","","","","","2345.0","","","",""
"AHDD01Z23","Nhôm LME 01/12/23","LALZ","","","","","","","2161.5","","","","","","","","","2170.5","","","",""
"AHDD01Z25","Nhôm LME 01/12/25","LALZ","","","","","","","2797","","","","","","","","","2800.0","","","",""
"AHDD02F24","Nhôm LME 02/01/24","LALZ","","","","","","","2320.5","","","","","","","","","2330.5","","","",""
"AHDD02F25","Nhôm LME 02/01/25","LALZ","","","","","","","2525.5","","","","","","","","","2524.5","","","",""
"AHDD02F26","Nhôm LME 02/01/26","LALZ","","","","","","","2949","","","","","","","","","2947.5","","","",""
"AHDD02G23","Nhôm LME 02/02/23","LALZ","","","","","","","2606.26","","","","","","","","","2613.0","","","",""
"AHDD02G24","Nhôm LME 02/02/24","LALZ","","","","","","","2244.5","","","","","","","","","2241.5","","","",""
"AHDD02G26","Nhôm LME 02/02/26","LALZ","","","","","","","3186.5","","","","","","","","","3195.0","","","",""
"AHDD02H23","Nhôm LME 02/03/23","LALZ","","","","","","","2323.5","","","","","","","","","2327.5","","","",""
"AHDD02H26","Nhôm LME 02/03/26","LALZ","","","","","","","3146.5","","","","","","","","","3145.0","","","",""
"AHDD02J24","Nhôm LME 02/04/24","LALZ","","","","","","","2244","","","","","","","","","2252.0","","","",""
"AHDD02J25","Nhôm LME 02/04/25","LALZ","","","","","","","2627","","","","","","","","","2628.0","","","",""
"AHDD02J26","Nhôm LME 02/04/26","LALZ","","","","","","","3517","","","","","","","","","3521.0","","","",""
"AHDD02K23","Nhôm LME 02/05/23","LALZ","","","","","","","2297.5","","","","","","","","","2308.5","0.5","","",""
"AHDD02K24","Nhôm LME 02/05/24","LALZ","","","","","","","2595.5","","","","","","","","","2585.0","","","",""
"AHDD02K25","Nhôm LME 02/05/25","LALZ","","","","","","","2364","","","","","","","","","2371.5","","","",""
"AHDD02M23","Nhôm LME 02/06/23","LALZ","","","","","","","2290.5","","","","","","","","","2286.5","","","",""
"AHDD02M25","Nhôm LME 02/06/25","LALZ","","","","","","","2450","","","","","","","","","2445.5","","","",""
"AHDD02M26","Nhôm LME 02/06/26","LALZ","","","","","","","3784","","","","","","","","","3767.5","","","",""
"AHDD02N24","Nhôm LME 02/07/24","LALZ","","","","","","","2481.5","","","","","","","","","2488.0","","","",""
"AHDD02N25","Nhôm LME 02/07/25","LALZ","","","","","","","2600","","","","","","","","","2596.5","","","",""
"AHDD02N26","Nhôm LME 02/07/26","LALZ","","","","","","","3086.5","","","","","","","","","3070.0","","","",""
"AHDD02Q23","Nhôm LME 02/08/23","LALZ","","","","","","","2246","","","","","","","","","2245.0","","","",""
